"","","exprtTATwistRas - expras"
"9lekf9_d_rteewJTpQ","NM_026671","1.5665975264698"
"KqvaKDqYkgAXyjiImk","NM_027853","0.109956319645987"
"WpaZ9x9f_hAnoR.VBE","NM_025791","1.11959117526202"
"ZhdXp75JftSF3iWLF4","NM_025791","0.727271008368316"
"rUCmU113ENlNRdxLSs","NM_026675","0.619477224381136"
"xnx7ijE2CcOSlY55eA","NM_027855","0.164886075997993"
"xPkUXaq37oR_vSi6HY","NM_212470","0.0316143380322274"
"HSHd1YIsbjZ5TS3cTo","NM_026617","-0.48410262192113"
"WkueW7XW_HX8ZL0RII","NM_026304","-0.0196454720125345"
"3rtRBd9AcK1Qq07fGI","NM_023507","-0.370490016967388"
"ZqRKnn0K14kTIep1.c","NM_021446","-0.0553038365833185"
"6eu5PPSC6SyheqOhqU","NM_026676","-0.373697990102832"
"9_Ceu5PPSC6SyheqOg","XR_033486","-0.426853718340476"
"34J67k89ILpLKF6o6E","XR_033486","-0.387235944579427"
"c30eG3GHzE0D_U4NX8","NM_025319","0.157776198634146"
"Hfl_tOO3nRJfAFfAEc","NM_025323","-0.0959639109344135"
"3uLgNJwvUvEUr8lLZc","NM_025318","0.42132607973028"
"olu3n90u9Z_XvkI_9w","NM_029508","-0.404734305065354"
"6oLnfjUfnjAvfNJN8w","NM_025646","0.0227004813361802"
"NpPgvRiy31Jd0rFAy8","NM_025646","-0.540001791715893"
"iiHu6FXp45xBIXlR7k","NM_027859","0.630128952048752"
"uuYK4ee.qiygDA7sXk","XM_001479635","0.345171980004919"
"3IXpImgZ5Pokog6Pnk","NM_023910","0.283872479602673"
"lSop2UZV13d6OkFSSg","NM_026660","-0.327921220340574"
"f3p5SuoF6lSFHSdckQ","NM_026660","0.0357854899998475"
"odfnyvXghIeuVEvU6U","NM_024179","0.0472777946881653"
"W4IAU6Hr_nHOitXlmU","NM_026152","-0.618590561858765"
"oCAFOh6.pxzorV5ZlU","NM_026152","-0.351231312351318"
"KH0tCokvQIkRabVSJQ","NM_026681","0.216090503895139"
"xV44FuIB_kt4dvuCBY","NM_001033140","-0.0152443096397104"
"TpTvRuNk4kt__PsCcE","NM_027861","-0.230137372779616"
"xOG1rtd0XUBlXUVJJ0","NM_026757","0.529889933619019"
"ipKtKl4qojv1vXAuAE","NM_030205","-0.207583448452013"
"NiEkSijeg6.F7iKK14","NM_024201","-0.420797922277007"
"lcQuotC1fr6RGjrzIk","NM_024201","-0.398251532171976"
"K4nrXs9DCTvPzyQ4zk","NM_024201","-0.550515610330934"
"W9eqrtlPueeY6VeepM","NM_026680","-0.167106631475239"
"orpJP6u.cc_Db6gu4c","NM_025329","-0.158508798713093"
"oHrkogxSqJ_wOgYQVY","NM_025320","-0.0140655706055934"
"Wn3eUTXyXM9PF7tOro","NM_028747","-0.307345346770368"
"i4oeoKh4KSkUWTukI4","NM_029788","-0.389297559817226"
"HBfX0wX_pUpRXopUQc","NM_172397","0.00688830998049106"
"QkeH6oE4dXPPFdVTNE","NM_001013414","0.201750742602508"
"xXsKoJwUUSzilQtfS4","NM_025339","0.483321384233163"
"T9TH4FeRX_l4tVdh5k","NM_026712","-0.0679819817366969"
"igQfe5fQ3hf6p1RqV4","NM_020003","0.497477881698572"
"reSBdIJSXQXHqudUsI","NM_020003","0.491954100136061"
"cUtTAeAVHdSKgqS7dI","NM_020003","0.517753765116371"
"HVgjcXggQMN6vXtXek","NM_025338","-0.24728039760833"
"Wd0qluUnt3TModF6Og","NM_029557","0.283799132111197"
"xoSr0xfor9SxIpU45U","NM_026714","0.244274166860744"
"B13_MCl8.1elXjsgtI","NM_025332","-0.344762622322756"
"HvuX0xeoBe.URHP3UM","NM_028754","-0.158182443119998"
"WA2R5J0CUZ6IG0YF9o","NM_028754","-0.148425136710395"
"uZ1RIQMk_pcfChCI_U","NM_025333","-0.0661398633826487"
"0p0qzrXiQTkAtTdeOw","NM_026701","-0.526946119607222"
"3x5Jmp5OB6qamVpt_c","NM_026307","-0.0622362266624084"
"oXvXv8OVXp9TuOFgVU","NM_026307","0.0353212822728839"
"TkV84LpYLj5Hl7okqA","NM_026307","0.597157360062033"
"3iemYEEJfErWc60gjg","NM_001035123","-0.221506636049396"
"0brtdXXEkPX5EzAQAU","NM_026159","-0.81664313692252"
"9m674c4hXQA5fboJdw","NM_026159","0.0637628458583084"
"9UZ6xJInrUFEvS50QM","NM_001042489","-0.089935479690574"
"ugHdC3kBXE4JT.tD0U","NM_025334","0.17295331553205"
