"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"9910","Bl6sQCJX0rn.unAOPE","Mdga2",1.76956402270088,8.03437397857894,19.7538821484215,1.96542143806225e-17,3.3498642990333e-13,27.8958568213807
"11104","BU2LP1VoHoj2ptP6ec","Nptx2",2.21714847378651,7.89448796299588,18.2295492238581,1.44660298183218e-16,1.23279506111739e-12,26.3027473773232
"4346","64JM.OxM76Uo04Dl14","Atp13a5",1.48381487669077,7.43543975314178,12.8620942568656,6.174864933963e-13,3.50814659781551e-09,19.1247530353658
"14183","Q01Pazr.VLV_xE16.g","Slc24a3",2.34924225811946,9.9318268386456,11.6700313254659,5.64408566959158e-12,2.40494490381297e-08,17.1155504340106
"2315","xqX24gIUk3006GCQeU","Abcc8",1.43902793628247,7.53033430362856,11.537566643545,7.28721248803485e-12,2.48406499292132e-08,16.8812102856308
"15809","9VVAhzEYr.0ueR_sko","Trim31",2.16438381430333,7.93465901732602,11.3710653142174,1.00757498075775e-11,2.86218466200586e-08,16.5834004455341
"9909","0uQBCFxQcIPW6Oue_o","Mdga2",1.25873546670541,7.52234322157317,11.2901052286979,1.18086832914342e-11,2.87524568598863e-08,16.4372704853935
"9696","0..XffXvNLL3g7yM.8","Gm12657",1.52640344577166,11.0718444818342,10.9647258096301,2.25200365560237e-11,4.79789378826085e-08,15.8411358678957
"4682","usvRN.EAk5.VzVPqVE","Cd200",1.43006906039457,8.6361385545882,10.6191629831747,4.5324251608609e-11,8.58340604907925e-08,15.1922763858309
"7582","TaMuZ_nkIeg0vlPt.o","Rap1gap2",2.0043013838615,9.12093136723709,10.5045127031838,5.73460389131493e-11,9.77405887235718e-08,14.9733581425581
"5013","llCgOad8UCJ1SAfUSo","Chst4",1.2424831763339,7.67757639313613,10.16231272663,1.16857491985093e-10,1.79537858949916e-07,14.3089975836486
"5072","NQhFSDqcRMQaFRt5Ts","Cldn10",3.34176598946425,9.60661727678744,10.1249825586772,1.26405439298227e-10,1.79537858949916e-07,14.2355225904347
"2425","upy_gd.vfAJEsiI0_4","Acox1",1.01014732756173,7.79683888897885,9.86700251060465,2.1856331500672e-10,2.71007767717109e-07,13.7223185150411
"4234","Zi0CCk10WK3ruYiReA","Fam73a",-1.36745623748921,8.97154639517949,-9.82874939769562,2.37220749237109e-10,2.71007767717109e-07,13.6454085446863
"11934","Nusi790D7c_yQKb.7Y","Phf12",0.745906314749279,8.45487051503658,9.82622687725124,2.38507188204449e-10,2.71007767717109e-07,13.6403294754704
"3149","W0qfR1SJFV8NVH.Sls","Arhgef1",1.0870143722293,9.36563146124437,9.50226519207646,4.8095574513087e-10,5.12338107500659e-07,12.9803881694091
"9134","BCVCu._1K0VUdLVF6c","Kcnk3",1.18005185548419,7.76947481574261,9.44728133886364,5.42485880930867e-10,5.43889962034453e-07,12.8668677735767
"7696","QRNElB9FQx4hos33tU","Gif",1.33656447094559,7.92880396442681,9.32758171984835,7.05992494909644e-10,6.68496449068888e-07,12.61820866665
"5074","EN5vFj1FrtlB5Ci9V0","Cldn10",3.67653132693128,9.54798914085817,9.17911688285649,9.81377185037798e-10,8.80346986409697e-07,12.3068815869185
"6775","H7kVQugdzu7ie6Q4TY","Cela3b",1.39696458557866,7.92614228020732,9.03490405071308,1.3551214870596e-09,1.15483453127219e-06,12.0013754644103
"5073","6vuQiB7XRDLX1Cndew","Cldn10",4.07928381535927,11.5401915883556,8.9204332028418,1.75414288421629e-09,1.36998829962014e-06,11.7567004589009
"4248","QhL4ZCXBItX3sVv72s","Fam19a4",1.26638330304447,7.86515566125122,8.91686796079314,1.76834913116892e-09,1.36998829962014e-06,11.749049015186
"2801","3sT07sXEs.x_vTwBdU",NA,1.19882207904397,9.57530701980396,8.89425637968855,1.86123888846116e-09,1.37925893977965e-06,11.7004782815574
"5150","NnvRsPo8PO_L3.oUBc","Clta",1.07621788319424,8.5727719580085,8.73728316981137,2.66050525621545e-09,1.88940214945567e-06,11.3612193551526
"3003","WFeIH_6ueg01IYKV5I","Ap2a1",1.19190692290363,8.45219886509801,8.67003387058899,3.10363615301784e-09,2.11593498368144e-06,11.2147678556779
"7608","WtSRzVRpXT.cQlOECg","Ankrd49",-0.675012660781546,9.79717339560766,-8.62444621294005,3.44646711132821e-09,2.259291747903e-06,11.1151117782632
"14560","WQBWIU8OPTWRQ4IL7A","Snx3",0.79824411420087,9.9914133122104,8.53713519952945,4.21558106350322e-09,2.58357060196966e-06,10.9233950903028
"4243","0d7ecMI31Gf0g.g5RU","R3hdm4",0.927617672397062,7.99740425981673,8.53419922042653,4.24430748974129e-09,2.58357060196966e-06,10.9169288528504
"9468","f1F4FVv0OIOe_1gEdI","Lgals9",1.61366688465878,9.22222461400408,8.47896317687325,4.82378239007418e-09,2.83505334677325e-06,10.7950407177817
"9467","BFFl4IH5KM0EdyC6as","Lgals9",1.15927719634537,9.57691774947629,8.43959843384871,5.28573387693234e-09,3.0030016066145e-06,10.7079025899695
"15202","6nhxAVShqgFPieacvI","Tcn2",1.65762354036191,9.85511777618323,8.36171033019309,6.33802689225419e-09,3.48468807585743e-06,10.5348206442738
"8685","cHp.1iDqu2Iq7qqOYs","Id3",1.2513954872768,9.18971390913248,8.34554081456719,6.58213415283864e-09,3.50580920315568e-06,10.4987778154726
"13916","WREleiCiAq.JeDqRXo","Sez6l",0.960083175649244,7.51444616953816,8.31953372132059,6.99513958063354e-09,3.61288360643388e-06,10.4407263714302
"853","WeH650SkXR6o84Uq3I","Lamtor1",0.961237635318284,10.6344809235819,8.27252299355732,7.81033158833521e-09,3.91527328210545e-06,10.3355416071836
