"","ID","Symbol","EG","RefSeq","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8651","xFuCOirpCuuki9VBzQ","Fabp6","16204","NM_008375",-3.22532591121825,9.23484493210727,-21.4672618271889,1.29874407772908e-07,0.00260973621960037,5.71950683783212
"13199","Be4XTnSjHSKiR3UAXQ","Gm7998","666238","XM_982514",-1.86769119170673,8.33238105877358,-19.8005982965451,2.25970752411496e-07,0.00260973621960037,5.52349414002918
"10138","foohEyuwCjnOdO9ykk","H2-T23","15040","NM_010398",-1.85522557697393,8.82314320634211,-13.9790121168684,2.40969287690936e-06,0.0185530286902842,4.42585631466678
"4094","oRbp9UJf7ijwEfesLk","Fam83f","213956","NM_145986",-1.25423307211054,8.38201943855596,-11.6837512513346,8.01254402916406e-06,0.0367223056203887,3.69771690739696
"4512","f6nVJ4OgoL6d.f6pXk","BC056474","414077","NM_001001493",-1.0575064515191,10.2693685539744,-11.0654929842917,1.14941617917908e-05,0.0367223056203887,3.456704455792
"11999","0UgUgeatmsMCvVsCSE","Gm4671","100043821","XM_001481017",3.94113862825594,14.871024031888,10.6293549597952,1.49922581128034e-05,0.0367223056203887,3.27283987273502
"15979","rwJKEeFvR95uCSFy50","Pdrg1","68559","NM_178939",-0.960998465749606,8.25792252893584,-10.4479256602864,1.67929059110302e-05,0.0367223056203887,3.19272644537022
"17605","NqB_Ll4gu7OyBej8q4","Rbbp4","19646","NM_009030",-1.11568108380368,8.12411558846902,-10.3836952884196,1.74883263409938e-05,0.0367223056203887,3.16383252162867
"18953","Z58so8A5CpI4JEennI","Sgk3","170755","NM_177547",-0.794921611107874,8.15250158986523,-9.85082823932754,2.47063000509558e-05,0.0381634398337383,2.91288659632255
"149","f5MhNgMhb86B_J9uJ0","Nadkd1","68646","NM_001085410",-0.903002096744764,8.05482159314745,-9.82800207876657,2.50838920967976e-05,0.0381634398337383,2.90167207918577
"5213","WV6d5whTXgQ6gheSL4","Car3","12350","NM_007606",-3.00573733404546,8.88192361075835,-9.74936050114455,2.64358402173267e-05,0.0381634398337383,2.86273168303052
"8218","rsBJJ468ELo20z0sn8","Eif4a2","13682","NM_013506",0.876503135632902,9.40801535783618,9.63332783189151,2.85843314986393e-05,0.0388376993503276,2.8044055491242
"10099","Z3Vdi.yeTpJd81JHj0","H2afj","232440","NM_177688",-0.874686860353004,8.11525698111701,-9.09597001111344,4.15045640452118e-05,0.0532595789064612,2.52013821749194
"494","HitLiUj9umC.xQkunk","1700123O20Rik","58248","NM_021437",-0.805283170709149,8.44579309023971,-8.98922664819477,4.47975021547188e-05,0.0544596160405103,2.46076834833862
"17688","BVn4pBx0OULzdsgoGo","Rbp7","63954","NM_022020",-0.786336595880841,8.14390162786895,-8.44326521379178,6.70362338822055e-05,0.0679455356502067,2.14094750516751
