Gene_ID,Corrected p-value,p-value,FCAbsolute,regulation,Symbol,Definition
2600193,7.84E-04,8.71E-06,67.224945,down,Thrsp,
"3390102,3190327|107045",0.002002198,7.12E-05,2.944998,up,Lars,"Mus musculus leucyl-tRNA synthetase (Lars), mRNA. XM_901187 XM_913429 XM_922755 XM_922767 XM_922771 XM_922775 XM_922782 XM_922785 XM_989215"
520358|223337,0.002930458,5.88E-04,3460.714,down,Ugt3a2,"Mus musculus UDP glycosyltransferases 3 family, polypeptide A2 (Ugt3a2), mRNA."
1690593|70484,6.60E-04,6.47E-06,28.518017,down,Slc35d2,"Mus musculus solute carrier family 35, member D2 (Slc35d2), mRNA."
6350575,0.039571486,0.011709918,11.851053,down,LOC383272,
540112|26386,0.04750873,0.014527361,4.1640325,down,Hsf4,"Mus musculus heat shock transcription factor 4 (Hsf4), mRNA."
"1440682,4280048|319476",0.020107545,0.005304501,8.5309725,down,Lrtm1,"Mus musculus leucine-rich repeats and transmembrane domains 1 (Lrtm1), mRNA."
"6900241,2060561|18150",0.003447118,7.06E-04,4.070701,up,Npm3,"Mus musculus nucleoplasmin 3 (Npm3), mRNA."
2260592,0.00293165,5.89E-04,9.895453,up,AW228700,
7050026|192170,0.010966377,0.002638072,2.815106,up,Eif4a3,"Mus musculus eukaryotic translation initiation factor 4A, isoform 3 (Eif4a3), mRNA."
"2630278,1030474,6560181|56401",0.011245557,0.002712897,2.2539928,up,Lepre1,"Mus musculus leprecan 1 (Lepre1), transcript variant 3, mRNA.///Mus musculus leprecan 1 (Lepre1), transcript variant 1, mRNA."
4280626,0.025443945,0.006973586,2.9062757,up,3110013H01Rik,
4060075|18028,0.002002198,2.54E-04,4.102256,down,Nfib,"Mus musculus nuclear factor I/B (Nfib), mRNA."
"4210369,4780541,4480674|230721",0.002002198,1.16E-04,5.1928287,up,Pabpc4,"Mus musculus poly A binding protein, cytoplasmic 4 (Pabpc4), transcript variant 2, mRNA.///Mus musculus poly A binding protein, cytoplasmic 4 (Pabpc4), transcript variant 1, mRNA."
2190239,0.002002198,2.95E-04,2.6680825,up,Morf4l2,
2450601|56508,0.002002198,1.60E-04,25.713701,down,Rapgef4,"Mus musculus Rap guanine nucleotide exchange factor (GEF) 4 (Rapgef4), mRNA."
4560626|109801,0.002002198,6.70E-05,3.5801637,down,Glo1,"Mus musculus glyoxalase 1 (Glo1), mRNA."
"2760161,3940064,6960746,940725|20511",0.002002198,3.54E-04,272.97385,down,Slc1a2,"Mus musculus solute carrier family 1 (glial high affinity glutamate transporter), member 2 (Slc1a2), transcript variant 1, mRNA.///Mus musculus solute carrier family 1 (glial high affinity glutamate transporter), member 2 (Slc1a2), transcript variant 2, mRNA.///Mus musculus solute carrier family 1 (glial high affinity glutamate transporter), member 2 (Slc1a2), transcript variant 3, mRNA."
"5810142,5810370,6400220|109052",0.002002198,1.56E-04,3.9604876,down,Krt75,"Mus musculus keratin 75 (Krt75), mRNA."
1690035|54409,0.02938848,0.008260027,2.1348672,up,Ramp2,"Mus musculus receptor (calcitonin) activity modifying protein 2 (Ramp2), mRNA."
"4070253,670554|11443",0.006957753,0.00157021,27.854666,up,Chrnb1,"Mus musculus cholinergic receptor, nicotinic, beta polypeptide 1 (muscle) (Chrnb1), mRNA."
"1500274,3610424|27061",0.002002198,4.76E-05,2.361188,down,Bcap31,"Mus musculus B-cell receptor-associated protein 31 (Bcap31), mRNA."
"1260039,4730019|353187",0.002184113,4.24E-04,6.085378,down,Nr1d2,"Mus musculus nuclear receptor subfamily 1, group D, member 2 (Nr1d2), mRNA."
"6560543,6110707,4890603|18777",0.03387366,0.009747484,3.34906,down,Lypla1,"Mus musculus lysophospholipase 1 (Lypla1), mRNA."
6270601|229782,0.002630139,5.22E-04,2.3035696,down,Slc35a3,"Mus musculus solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3 (Slc35a3), mRNA."
3180554|16424,0.004753955,0.001013862,20.498585,down,Itih1,"Mus musculus inter-alpha trypsin inhibitor, heavy chain 1 (Itih1), mRNA."
6280176,0.00465188,9.89E-04,60.486088,up,Mcm7,
6290707|71846,3.24E-04,2.12E-06,185.56985,up,Syce2,"Mus musculus synaptonemal complex central element protein 2 (Syce2), mRNA."
1690020|54160,0.002002198,5.48E-05,2.5098507,down,Copg2,"Mus musculus coatomer protein complex, subunit gamma 2 (Copg2), mRNA."
7610767|331532,7.89E-04,8.82E-06,192.2376,up,Tceal5,"Mus musculus transcription elongation factor A (SII)-like 5 (Tceal5), mRNA."
5490767,5.90E-04,5.45E-06,143.05974,up,2500002A22Rik,
5720014|20322,0.02308683,0.006227373,4.324134,down,Sord,"Mus musculus sorbitol dehydrogenase (Sord), mRNA."
"430132,2350537,5390131|16859",0.00803462,0.001848565,2.1565735,down,Lgals9,"Mus musculus lectin, galactose binding, soluble 9 (Lgals9), mRNA."
"1450564,6580669|328133",0.012635756,0.003091039,2.929113,down,Slc39a9,"PREDICTED: Mus musculus solute carrier family 39 (zinc transporter), member 9, transcript variant 2 (Slc39a9), mRNA.///PREDICTED: Mus musculus solute carrier family 39 (zinc transporter), member 9 (Slc39a9), mRNA."
2030386|244152,0.040893413,0.012167349,7.9208736,down,Tsku,"Mus musculus tsukushin (Tsku), mRNA."
6510162|100047200,0.025463514,0.006980807,179.5215,down,LOC100047200,"PREDICTED: Mus musculus similar to T-box 3 protein (LOC100047200), mRNA."
"6550563,6100255,770328|14073",0.002002198,3.70E-04,2.4788792,down,Faah,"Mus musculus fatty acid amide hydrolase (Faah), mRNA."
6960598|226154,0.002893755,5.79E-04,3.0328603,up,Lzts2,"Mus musculus leucine zipper, putative tumor suppressor 2 (Lzts2), mRNA."
"2340452,4280646,110180,1090255|111173",2.03E-05,4.77E-08,15.856711,down,Erc1,"Mus musculus ELKS/RAB6-interacting/CAST family member 1 (Erc1), transcript variant 2, mRNA.///Mus musculus ELKS/RAB6-interacting/CAST family member 1 (Erc1), transcript variant 1, mRNA. XM_925144 XM_925146 XM_925148 XM_925150 XM_925151 XM_925155 XM_925160 XM_925162"
"2850075,2680110,7510356|72999",0.013573013,0.003356442,8.189727,down,Insig2,"Mus musculus insulin induced gene 2 (Insig2), mRNA."
7610762,0.030067459,0.008482595,3.7451675,up,A930038D06Rik,
5910176|18750,0.00703131,0.001588437,31.020205,up,Prkca,"Mus musculus protein kinase C, alpha (Prkca), mRNA."
430152|76969,0.002727008,5.43E-04,198.39308,up,Chst1,"Mus musculus carbohydrate (keratan sulfate Gal-6) sulfotransferase 1 (Chst1), mRNA."
2940541,3.40E-04,2.28E-06,14.686227,down,Gstm6,
670079|102448,0.016284205,0.004152197,4.1355352,down,Xylb,"Mus musculus xylulokinase homolog (H. influenzae) (Xylb), mRNA. XM_902953 XM_902954 XM_916628 XM_924356 XM_924359 XM_924362 XM_924365"
5340609,0.002002198,7.64E-05,5.3867574,up,2310051F07Rik,
"5220541,2570577,70392,7160220,450491|18018",0.007222001,0.001635694,3.53764,down,Nfatc1,"Mus musculus nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 (Nfatc1), transcript variant 1, mRNA.///Mus musculus nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 (Nfatc1), transcript variant 2, mRNA."
1090209,5.25E-04,4.52E-06,60.68443,down,LOC384865,
"3120278,5820685|11601",0.036227766,0.010553812,5.89044,up,Angpt2,"Mus musculus angiopoietin 2 (Angpt2), mRNA."
3180296|68877,0.002002198,1.68E-04,3.2350333,up,Maf1,"Mus musculus MAF1 homolog (S. cerevisiae) (Maf1), mRNA."
7200753|100047285,0.045230273,0.013666808,7.258334,up,LOC100047285,"PREDICTED: Mus musculus similar to implantation serine proteinase 2 (LOC100047285), mRNA."
"1940348,6400553|19385",0.004227404,8.89E-04,5.0984063,up,Ranbp1,"Mus musculus RAN binding protein 1 (Ranbp1), mRNA."
1050538|100046395,0.005573332,0.001216824,2.0614579,down,LOC100046395,"PREDICTED: Mus musculus similar to carbonic reductase 4 (LOC100046395), misc RNA."
1980328|18478,0.010085257,0.002395055,5.95586,down,Pah,"Mus musculus phenylalanine hydroxylase (Pah), mRNA."
2570095,0.010535575,0.002517236,2.6600525,down,Psmb8,
4560278|100532,0.013998862,0.003475518,2.2221394,up,Rell1,"Mus musculus RELT-like 1 (Rell1), mRNA."
4040646,0.03936806,0.011641307,9.147913,down,Siat9,
2680408|53328,0.008777036,0.002043244,4.701023,down,Pgrmc1,"Mus musculus progesterone receptor membrane component 1 (Pgrmc1), mRNA."
5130427,0.04123483,0.012285634,14.225265,up,6430511F03,
3870524|673607,2.89E-06,4.35E-09,53.070576,down,LOC673607,"PREDICTED: Mus musculus similar to Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB) (LOC673607), mRNA."
6290301|107271,0.022390623,0.006012171,15.186063,up,Yars,"Mus musculus tyrosyl-tRNA synthetase (Yars), mRNA."
4010048|11977,4.36E-04,3.40E-06,14.185225,up,Atp7a,"Mus musculus ATPase, Cu++ transporting, alpha polypeptide (Atp7a), mRNA."
5090343|58805,0.048417967,0.014878226,3.229781,down,Mlxipl,"Mus musculus MLX interacting protein-like (Mlxipl), mRNA."
1940475,0.002002198,1.59E-04,85.94811,up,LOC382461,
"1990279,6330253|75599",0.005335278,0.0011582,2.856727,down,Pcdh1,"Mus musculus protocadherin 1 (Pcdh1), mRNA."
7100603|93736,0.004947566,0.001062595,3.1283042,down,Aff4,"Mus musculus AF4/FMR2 family, member 4 (Aff4), mRNA."
