"","p.lung","fc.lung","p.liver","fc.liver","filter"
"BC056474",0.000106461413831199,-0.51301036950902,0.0367223056203887,-1.0575064515191,TRUE
"Sgk3",0.000181256567742407,-0.479555809072628,0.0381634398337383,-0.794921611107874,TRUE
"Slc15a2",0.00199754845997943,0.821366712899573,0.0705763469824118,1.33229244937576,TRUE
"Cd63",0.0109157703302408,0.563367616437809,0.098420560218054,0.741314722505535,TRUE
"Clec7a",0.0144676056697581,0.403727963174618,0.098420560218054,1.19329575564019,TRUE
"Ring1",0.015447481302282,0.334558060918748,0.0990127363049594,0.766007131013179,TRUE
"Ikzf5",0.0176486886412327,-0.480619495741252,0.101329749564612,-0.665673273466963,TRUE
"Hc",0.0225031480812128,-0.327236315418373,0.101696648231873,-0.600544633372845,TRUE
"Vcam1",0.0316021271620676,-0.294039831570375,0.116388623798409,-0.678683312737707,TRUE
"Ctdsp1",0.0356827964232472,-0.293539660314778,0.129623887217954,-0.522355343882515,TRUE
