"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"19176","10419170","Txndc16",0.927211846293953,5.73687170405117,11.609386696502,6.61690394999196e-08,0.00137095632939883,8.00365262221838
"4563","10523120","Cxcl5",-1.30417806197917,7.76340702745259,-9.74110746877793,4.54298568097776e-07,0.0031466632865936,6.46614076092271
"13760","10463997","Pdcd4",2.38133838109105,8.01582342805345,9.5699565319955,5.499555379136e-07,0.0031466632865936,6.30726963974082
"15257","10547177","Rassf4",1.51875126739823,8.31886462329033,9.48177334594157,6.07493274114311e-07,0.0031466632865936,6.22411776497242
"8704","10462618","Ifit3",5.01929689270079,7.60669882200036,9.00820936972814,1.04978235620263e-06,0.0033720384397711,5.7620086608783
"3728","10470775","Cercam",0.744519495808968,7.20527582293213,8.74013422534071,1.44489384510769e-06,0.0033720384397711,5.48836083604759
"5718","10593634","Elmod1",-0.971466457261231,5.87373905435564,-8.67476663397712,1.56368696958792e-06,0.0033720384397711,5.42026659940998
"17075","10461152","Snhg1",-0.973856620671008,8.75189620580137,-8.59842882706,1.71580188727706e-06,0.0033720384397711,5.34005399729495
"19881","10522090","Wdr19",1.0205575077775,6.30417795214372,8.54929741886194,1.82203308796239e-06,0.0033720384397711,5.28803210605411
"6607","10565401","Folh1",1.44109306052848,9.05779794941745,8.53142124685851,1.86241362973783e-06,0.0033720384397711,5.26902671911764
"8245","10573713","Heatr3",-0.612193071953033,9.036082755643,-8.52453687810147,1.87821935375365e-06,0.0033720384397711,5.26169640704909
"4512","10492699","Ctso",0.992312276746499,5.48933288217293,8.492779624027,1.95301227266052e-06,0.0033720384397711,5.22780218543019
"7778","10538187","Gpnmb",0.938147020987843,11.0214943806381,7.99919060314721,3.63428094887485e-06,0.00500185472574746,4.68375804503411
"6758","10381603","Fzd2",0.554650426781267,8.15253935247306,7.96980075571226,3.77442218288187e-06,0.00500185472574746,4.65031928685155
"14076","10519951","Pion",1.19562312736276,6.33139572036689,7.96118259317732,3.81660348761262e-06,0.00500185472574746,4.64049111333733
"5080","10559312","Dhcr7",-0.635248979492613,7.82944867609026,-7.9518956874765,3.86262250166318e-06,0.00500185472574746,4.62988874691132
"2159","10496971","Asb17",-0.883626730895057,6.02422423411427,-7.86512063823476,4.32241838440762e-06,0.00526801097097303,4.53024066016492
"16992","10462237","Smarca2",0.897892689325323,9.43380620394568,7.60954457878626,6.0506532119157e-06,0.00688468362071158,4.23056468394274
"19836","10584435","Vwa5a",1.18116111683527,7.24621382000028,7.5776476925422,6.31347983944785e-06,0.00688468362071158,4.19250688087816
"5411","10449284","Dusp1",1.54632068320416,9.89985928046096,7.31765061444762,8.96989841490218e-06,0.00879772064536044,3.8767477503837
"15966","10493798","S100a16",-0.72173537284484,9.40983773129683,-7.30005019143393,9.18844942646161e-06,0.00879772064536044,3.85501192766726
"9541","10391013","Krt13",-0.825375019433569,6.66229100372364,-7.25367979003058,9.79188504068163e-06,0.00879772064536044,3.7975250664431
"16625","10595189","Slc17a5",1.05605730820462,8.42360104947023,7.23026126467322,1.01125695187207e-05,0.00879772064536044,3.76837013220254
"8337","10434252","Hira",-0.533526267612222,8.73246640428612,-7.21578226697661,1.03164252623612e-05,0.00879772064536044,3.75030332790767
"14636","10447294","Prkce",0.668296181628149,7.7606843754338,7.19508143570778,1.06155227633578e-05,0.00879772064536044,3.7244182437917
"1644","10533345","Aldh2",1.47201122704696,7.61281077366673,7.09179635646625,1.22523836857554e-05,0.00968753054441958,3.59430056792538
"20099","10389581","Ypel2",0.87714766036173,5.43969562678305,7.06774221655899,1.26709438281996e-05,0.00968753054441958,3.56376523096729
"13725","10479726","Pcmtd2",0.954783605044594,7.21538139884932,7.03420076823553,1.32801989983466e-05,0.00968753054441958,3.52103920651342
"9881","10494445","Lix1l",1.21228644163395,8.88226674136687,7.00168292208509,1.39007204643298e-05,0.00968753054441958,3.4794530840453
"15234","10386455","Rasd1",0.585313032338123,7.31795083422264,6.96543995479211,1.46288880661892e-05,0.00968753054441958,3.43291221023118
"9801","10393573","Lgals3bp",3.16004081359323,8.4337418615387,6.92915261199506,1.53987670782264e-05,0.00968753054441958,3.38611225448126
"3037","10433057","Calcoco1",1.68214434703607,8.3054146288336,6.92883374305609,1.54057203872888e-05,0.00968753054441958,3.38570010962992
"15011","10560644","Pvrl2",0.79919713966308,7.77882392332982,6.92773402263408,1.54297267226143e-05,0.00968753054441958,3.38427857755981
"18948","10503259","Trp53inp1",2.17748621578741,6.5768355826476,6.79249659189165,1.87083487118033e-05,0.0114005375576427,3.20804136514988
"2542","10538901","BC005685",1.21683945686078,9.2815925247367,6.74726289893206,1.99643290378519e-05,0.0118183123810073,3.14846027359834
