ID	group
4687778018_A	myc
4687778018_B	myc
4687778018_C	myc
4687778018_D	myc
4687778018_E	myc
4687778018_F	ras
4687778018_G	ras
4687778018_H	ras
4687778091_A	ras
4687778091_B	ras
4687778091_C	mycras
4687778091_D	mycras
4687778091_E	mycras
4687778091_F	mycras
4687778091_G	lung
4687778091_H	lung
4700266088_A	rtTATwist
4700266088_B	rtTATwist
4700266088_C	rtTATwistRas
4700266088_D	rtTATwistRas
4700266088_E	rtTATwistRas
4700266088_F	rtTATwistRas
4700266088_G	rtTATwistRas
4700266088_H	rtTATwistRas
4687778085_A	LSLKrasTwistOFF
4687778085_B	LSLKrasTwistOFF
4687778085_C	LSLKrasTwistOFF
4687778085_D	LSLKrasTwistOFF
4687778085_E	LSLKrasTwistOFF
4687778085_F	LSLKrasTwistON
4687778085_G	LSLKrasTwistON
4687778085_H	LSLKras
